iter	Passed	Remaining
0	33	33808
1	66	33406
2	106	35385
3	164	40995
4	228	45390
5	287	47597
6	325	46217
7	359	44612
8	410	45169
9	468	46371
10	523	47078
11	558	45952
12	592	45001
13	627	44208
14	661	43469
15	704	43347
16	753	43574
17	815	44492
18	876	45250
19	935	45858
20	999	46574
21	1061	47169
22	1107	47053
23	1142	46443
24	1195	46640
25	1239	46439
26	1272	45866
27	1334	46320
28	1371	45923
29	1406	45481
30	1463	45746
31	1501	45414
32	1560	45729
33	1623	46125
34	1662	45836
35	1726	46223
36	1762	45860
37	1797	45500
38	1859	45824
39	1894	45476
40	1952	45660
41	1985	45287
42	2044	45504
43	2104	45719
44	2139	45394
45	2173	45066
46	2207	44762
47	2265	44941
48	2305	44747
49	2353	44717
50	2411	44879
51	2466	44971
52	2514	44924
53	2556	44789
54	2592	44539
55	2653	44738
56	2688	44482
57	2729	44330
58	2783	44400
59	2847	44603
60	2881	44359
61	2941	44503
62	2975	44253
63	3037	44426
64	3073	44213
65	3125	44223
66	3179	44278
67	3220	44144
68	3279	44243
69	3338	44358
70	3388	44333
71	3451	44490
72	3498	44428
73	3557	44523
74	3605	44470
75	3643	44295
76	3677	44086
77	3712	43883
78	3753	43756
79	3787	43560
80	3821	43356
81	3877	43409
82	3916	43265
83	3950	43084
84	3989	42946
85	4051	43056
86	4090	42928
87	4151	43026
88	4213	43132
89	4258	43054
90	4307	43029
91	4356	42998
92	4391	42827
93	4425	42655
94	4467	42555
95	4525	42619
96	4589	42726
97	4643	42742
98	4678	42577
99	4712	42415
100	4747	42260
101	4808	42334
102	4847	42212
103	4881	42056
104	4915	41896
105	4962	41854
106	5024	41929
107	5065	41839
108	5119	41847
109	5179	41903
110	5228	41873
111	5262	41722
112	5297	41580
113	5340	41503
114	5396	41526
115	5452	41554
116	5511	41595
117	5563	41586
118	5599	41455
119	5639	41354
120	5697	41389
121	5759	41451
122	5819	41495
123	5872	41483
124	5906	41342
125	5950	41272
126	5992	41190
127	6049	41210
128	6087	41104
129	6146	41134
130	6208	41187
131	6271	41239
132	6331	41274
133	6390	41298
134	6449	41325
135	6509	41354
136	6568	41378
137	6603	41245
138	6663	41273
139	6701	41169
140	6760	41186
141	6801	41094
142	6847	41038
143	6907	41062
144	6942	40938
